season,team,games,epa_off,epa_def,sr_off,sr_def,pass_sr_off,rush_sr_off,expl_off,expl_def,rz_td_off,rz_td_def,third_off,third_def,sack_rate_allowed,sack_rate_def,to_pg,takeaways_pg,l5_epa_off,l5_epa_def,l5_sr_off,l5_sr_def
2026,MIA,2,-0.1238,0.149,0.3739,0.4783,0.3803,0.3636,0.0783,0.087,0.25,0.8889,0.36,0.5263,0.1385,0.0,1.0,1.0,-0.1238,0.149,0.3739,0.4783
2026,MIN,2,0.0057,-0.1588,0.3684,0.3475,0.4237,0.3091,0.0526,0.1064,0.6667,0.1429,0.4074,0.2963,0.1091,0.092,0.5,2.0,0.0057,-0.1588,0.3684,0.3475
2026,NE,2,-0.0683,-0.1749,0.4194,0.3866,0.5068,0.2941,0.0645,0.0672,0.3333,0.0,0.3214,0.1739,0.087,0.0822,2.5,1.0,-0.0683,-0.1749,0.4194,0.3866
2026,NO,2,0.0688,0.0265,0.4423,0.5224,0.4815,0.3542,0.0833,0.0821,0.75,0.7143,0.5,0.4091,0.0784,0.0513,1.5,1.0,0.0688,0.0265,0.4423,0.5224
2026,NYG,2,0.0137,0.2565,0.4516,0.5086,0.5,0.3929,0.0403,0.0948,0.6667,1.0,0.5,0.6842,0.0597,0.0147,1.0,1.5,0.0137,0.2565,0.4516,0.5086
2026,NYJ,2,0.0113,-0.1441,0.4307,0.3761,0.4805,0.3667,0.073,0.0459,0.6667,0.75,0.3333,0.2381,0.0541,0.0845,0.0,0.5,0.0113,-0.1441,0.4307,0.3761
2026,PHI,2,0.0353,0.052,0.3721,0.4228,0.4156,0.3077,0.0698,0.0813,0.7143,0.7143,0.5312,0.3929,0.08,0.0476,1.0,0.0,0.0353,0.052,0.3721,0.4228
2026,PIT,2,-0.2856,-0.2068,0.363,0.3982,0.3958,0.2821,0.0519,0.115,0.3333,0.0,0.2083,0.25,0.0674,0.1321,1.5,2.0,-0.2856,-0.2068,0.363,0.3982
2026,SEA,2,0.0977,-0.1703,0.4454,0.3802,0.5088,0.3871,0.0924,0.0165,0.4286,0.6667,0.3333,0.2857,0.0556,0.0685,0.5,2.0,0.0977,-0.1703,0.4454,0.3802
2026,SF,2,0.2728,-0.1204,0.5565,0.4167,0.6562,0.4314,0.087,0.0583,0.875,0.2,0.6316,0.375,0.0,0.0702,0.5,1.0,0.2728,-0.1204,0.5565,0.4167
2026,TB,2,-0.1448,0.0088,0.438,0.4622,0.4268,0.4615,0.0744,0.0756,0.375,0.375,0.4615,0.4815,0.0921,0.0417,2.5,0.5,-0.1448,0.0088,0.438,0.4622
2026,TEN,2,-0.0463,0.08,0.4272,0.4357,0.4308,0.4211,0.0874,0.0786,0.6,0.7143,0.4,0.4483,0.0794,0.0441,0.0,1.0,-0.0463,0.08,0.4272,0.4357
2026,WAS,2,0.0448,0.1309,0.461,0.4537,0.4483,0.4815,0.0567,0.0833,0.7143,0.7143,0.4483,0.52,0.0123,0.0725,0.5,0.0,0.0448,0.1309,0.461,0.4537
